1078,4,2,2,61,22,98,40,62,43,41,20,52,25,30,20
1076,2,4,1,80,20,123,33,83,41,66,20,29,16,5,1
1076,2,4,2,74,20,126,33,91,33,72,27,14,16,7,3
0,0,0,0,1,3,3,9,32,12,144,120,698,126,452,0
0,0,0,0,1,3,3,9,32,12,144,120,698,126,452,0
14,9,53,23,25,19,60,19,250,174,460,305,61,74,35,19
13,13,55,22,23,21,58,26,177,206,325,401,67,101,29,63
0,0,0,0,5,7,8,3,14,16,81,62,209,232,43,920
0,0,0,2,4,7,7,8,26,24,102,101,341,144,810,24
1.85,1.84,1.85,1.92,8.63,8.07,3.77,3.76,3.47,3.48,13.23,13.23,10.29,10.57,14.62,13.73
2,1,2,4,10,9,8,7,5,6,13,13,11,12,16,15
